,text,label
45,na3ref itathe5em wi 3ajez itijari meli na9ra colege izah rasoul ileh hathouma isayirou fethayih,1
46,baya mamestek na7ih boudi 5ir winti thabet t3awed,1
47,bravo,0
48,tefha,1
49,em3alem yasin,0
50,ti3jibni,0
51,bravo,0
52,of karahtna fan weldi sayb tbahbir ezeyd,1
53,chnouwa besem te5dem ye5dmou 7anaba3l chokran be3eth erou7 marzou9i 5ir,0
54,respect sayeb montakhab telha bjam3itek sar jem3a samdi parc fdeha elmontakhab kamcha fsayel ta3mel theb tamna3houm enternment winek hot bnalek beli 3anech masoulin saksi 3ali sar khacha jerdhan tohkem titwasel lahkeya enas sayeb hram tarmi flousk kamcha mortaz9a metma3chi yhebou ymousouk flousek deja 9alouha parc samdi joumhour lkoukou yasma3 erajhi msayeb 3isaba parc za3ma za3ma ykhdmou hyathoum kemla yebtezou hram sayer fina ybaki ksara 3andek mal ma3andekech rjar theb tkhir ma3ana nouslou edhaker klemi,1
55,hka bjha,1
56,titaw nikolha berasmi tlaknas lezebi,1
57,ravo olfa,0
58,yihmou blad y9admou rwahom mout abtal yahmihom yistirhom nchala,0
59,a7la,0
60,mabledha,1
61,bravo najla zine wrzana,0
62,marque lentiles mte3ek chnawa,0
63,tres bien ema a3mlelna 9anet elghalya w3etna beha,0
64,acte tres responsable merci betwafic,0
65,oksm belah bkit kater mtalek jaafer nas andhom bash amihom lkhir,0
66,ta3rif nabara ylawjouna a9al ghalta ychawhou som3it ijam3iya n7ibouk trodina 3alamiya wa7na wrabi,0
67,waw 3ajbatni bzaf d3ouli yarzqni insan linbghi 3ajilan,0
68,n7ebou te3jebni lokza,0
69,bravo,0
70,katheb,1
71,ya3teb 3asba fanen rahet mou3a9,1
72,merci,0
73,cokies is not god,1
74,masta wetek tamthil wla tanchit,1
75,aandi jem3tin nra publication hedi kade tkhalas yekhi,0
76,mnayka zaaab aalesh,1
77,maaset 5ih,1
78,msatet emision,1
79,brcha ghalit ism virus houa sars cov2 ism maladie houa ncovid9 houa souche sars bkolhom teb3in coronavirus virus transmision r houa thetou definition mte pandemie par exemple gripe transmision mte3ou r taux mortalite a9al mers 4x gripe,1
80,n9oul na7na amana machrou3 mta3ek 7ram to5rj ejam3ia,0
81,a7zabe kalbe chr3a alha,1
82,ma7lekom i5alikom leb3adkom,0
83,tbarkala maysa wasel wenchalah,0
84,elmaset heda bo93a nel9ah elsaber,1
85,3maltha,0
86,jebha zokou ifoukou,1
87,degage t7ebech tesma3 rasek 9olnelek raja3 montasar tsayebch djabou tared 3isaba be3ethna naykou rou7 nayek,1
88,hamza,0
89,were and only of us ordered were refused to be served unles of us ordered even though order of of us exceded dinars and place was empty waited minutes but they wouldn serve us so left,1
90,mkch aabed,1
91,rahali borhenedine jebha winti wa9tech tendham,0
92,mamst zok,1
93,ma7lehem,0
94,9a7ba wow,1
95,merci,0
96,to9tel wahra klemk na9rawah kteb,0
97,ma3azou badoura,0
98,mele5er famech zok play of maghir,1
99,chikha yheb ejam3ia bgalb wrab w3andou maykoul rouhou,0
100,nike ta mere toi,1
101,tbarkalah m3aha bravo,0
102,mezyena,0
103,bou3rada agriculture mayestanech chkoune ywajhou lila3mel elkhayria bouficha safha wil yotleb yotleb ayoub sgairi,0
104,bravo,0
105,mamsithaaa,1
106,arwa3 ilbaramej,0
107,takerhek t7ebek to93od baramej metek 9anet mte3ek top,0
108,limra ikmith9fa ilmobd3a 3andha thi9a rou7haa ma7leha,0
109,ta7an,1
110,3amel 3id miledek fi9sar belmeliyarat wetla7eslek eta7ana w8erek meskin yetlawa7 sa7ra ya3lem filham wel3atach wechar wechames ala8aleb 3tak lwa9et enayak wmawltek dawlet et7in weda3ar,1
111,matgolich configuration 7el saker 5atr hdha 7afdhatou na3mlou fnhar chouflouna 5ouya manech n5alsou swed 3younkom t9os n5alsouha tb9a ch har 7ala hdhi nkalmoukom tgouloulna 5alsou n5alsou t7el sbou3 wtzid t9os wla 5alina na7ou lham nadf3ou mafam chy,1
112,chapeau yousef chahed yahfdhik,0
113,kamcha hmal ri9,1
114,rbe7to el3asba,1
115,stp sakir elpage akhdim y3inik elkhidma birouete fcb matistahilich hob ejam3iya tchawirha recrutement tjib mesi ygouloulik hay etaraji chret eregued zwegui wledi jet elbouma taslah,0
116,amset boughaleb,1
117,mahlek jamaaya hethom nethada hethom 3awnou bdinar wehed zaam tanbir etes patron ekdem rouhok wrabi moment terjaa jamaiyetna blasetha hakaneya seule raison esmna courage,0
118,mast mast mast tjibou mt3talfza,1
119,m3alim,0
120,ryehi ta7an m3amer gadhefi,1
121,bitawfi9 wled kef mayensewich ihtimemik bihom,0
122,mosaque wila ambasade,0
123,liy 5thalek 5abalek,0
124,wow makench jozei,0
125,chesmo brnamej y5dem,0
126,mahlek nhebek barchaa,1
127,5alit ro7ek manika weset iznatir srafet 3lehom flousek sabouk nakrin aselhom yonokrouch,1
128,chkon sme3ha live azizos chafcha,0
129,7okouma zebi walou lifri9i ma3ambalo,1
130,ekhdem rouhek faut developer compagnes 3aref 7ezbek ywaf9ek,0
131,alh yarhmou mouhsn chahid lebld za3z3ha raho 3ach wemt,0
132,masta nawfel masit 9anet 7iwar masta,1
133,maset laset klaaaset,1
134,raouf ayari tafsil 9rib yetcha7at y9olhom bras la7nina 9osou,0
135,aaa clubisti weshel mohamed aouainia 7omti ligne rouge,0
136,wled jam3iti saybouh borhene bsayes 3li e3tathar moubacher 9alkom nas rahom nakouli wa3di 3arbi karhouni 7yeti l9alhom boulis siyasi puisque akthar ya3raf y3athbou 7bouset ynajemch yet7amal amors 3ta thel karou mokrah a5aka batal kolna na3arfou clubiste dam wa7id 3ta mkach5aa rasha ya3raf ya5ralou mlih 3ahd ba3loul alors are7mouh chway mahou ela wild,0
137,barvo,0
138,ma7lek ma7la martik ihanik tamthilik ti3jibni twensa i7ibou msarwa wil moumathlin ajenib b3adhna z3,0
139,aaah miselch ta3mal aime pub nv recrutement djabou,0
140,behya 5ayba,0
141,azyn wa7da mousalsel,0
142,fouazi benzarti ya39oubi sauf hedhom ezouz entraineur ynajem ycadri yreni mle3beyet,0
143,winek siedet arais 3oudh tchoufelna kayem tekteb etnezel wkabelna,0
144,kolna maw3id,0
145,ahh 7chouhoulek 9sar hlal,0
146,nal9aha conecte merci 3l details,0
147,a7ma9,1
148,dantoum zebalaa matigi 3ir masyayib wrakom rahantou,1
149,sel3a ma8chocha,1
150,mademek cheded micro,0
151,chofto zaweli yelzmo iraj3 whedha wejib ema rijel a3mel 5edhew miliarat lezm iraje3ou machrou3 siliana flouso mawjouda depuis ans w3ateletehom 7kouma hakom tw 7okm,0
152,barvo,0
153,3aych n7ebk t7a9a9li a7lemi n7eb nhez omi elz 7ej bit,0
154,mash ysoun yberik,0
155,hamdoulah nest7a9oh jmal hai khedma s7i7a marbo7a demain,0
156,amin gara wa7dek wma7la dha7ektek,0
157,samir nzid net2aked mortaz9a zero niveau ragas,1
158,ina nhibak bayota tafihom inas inty s8ira barch ichtarki b9anet,0
159,8ayr minek,0
160,tfoh elkomaj mta3kom ganat ekmaj,1
161,jam3ya wasel na3rfou edawla dhedek echa3b,0
162,tfo marek mgalba,1
163,la9ta cv aal lekher 3ejbetnich,1
164,rima love this,0
165,fanen dhaw9 ghne ya3mil tbarkalah nour wasel hakeke chance,0
166,bravo batal,0
167,sahih damda almedeb chari 3dyar minhom akhere dar wazir kharijia sabahak carthage miliar,0
168,m3alem,0
169,m3akom weldi me3adech wa9t recrutemonet yehdikom wiliam jibour ebenzer asifouahwiliam jibour ebenzer asifouahwiliam jibour ebenzer asifouahwiliam jibour ebenzer asifouahwiliam jibour ebenzer asifouah,0
170,top top bravo n9os cha3ri wa7di sa3at yatla3 mezyan hamdoulelah,0
171,sa7bi machalh bravo ma7lek,0
172,tihak mist3raf bikol chey lebhim serak mojrom mortazaka ya3nbouk tahan,1
173,bravo,0
174,bravo samir bone chance,0
175,a7la momithil,0
176,amir elkawn,0
177,ya3jboli awlad mofida,0
178,ntouma sebou yniko zokomhom,1
179,conexcion 3g dh3ifa,1
180,kavi ladhan lougna,0
181,wlhi ta7foun 5ir 3arbi mezni marty,0
182,kolha tlwaj korsi barou fotho irheb bad itlaftou abed aycha wintkhabet btbiatha zayd wlah kolha tlwaj msalha,1
183,red3i klmt fedini nayek normalement captures mefihom,1
184,maset 3oka,1
185,tbarkala,0
186,tbarkalah soutik 7al9 mnawir,0
187,semaine reclamation,1
188,tejebni baarcha taaraf titkalim motrobya,0
189,ta3jebni bravo,0
190,mostawa manta9 famech maset 9adou ya7ki 3lai daleji 3maal kali 3mal 7aaja ya7ki 3lai 2estiya2 crois aysou menou bl,1
191,nodhmonlek clubistya problem nsa7abt tensa7 fina besabr point vue,0
192,karma is garahirsaliyni,0
193,bravo ele,0
194,nahabek zebla hatbaet hanam,1
195,rejel,0
196,chiboub jatout jalta bos chmata tahana,1
197,chatha zin wahra tamthil super star bravo nidhal wasel,0
198,akahaw dawertouha zgayet 97ab,1
199,3akliet 7aramya imed belhasen trabelsi elgadafi haahh,0
200,wafin natija,0
201,madema aguerbi tka t9oumelna 9aymaa aguerbi matal3eb ykarkrouna chirtek maw 9olnelek maach twa5er maa ataquant finale coupe rjeybi marka chirtek matrabitch salfouhom bi3ouhom aleh la3sab,1
202,kj hah loil,0
203,fahamna 7keyet jmal,0
204,alf dislike,0
205,ha9e maset maset ma3jabniche,1
206,nhibha,0
207,tonalite,0
208,bravo suis fiere toi tbarkalah ywaf9ek wa7na,0
209,3idek mabrouk ywaf9ek ykhalik eltounes 3ayeltek,0
210,tahfoun nour,0
211,weldi ma7lak zeyed,0
212,thabel 3jbetni,0
213,baravo 7al9a ma7lakom ta7yalikom alh yar7m soufyan madam yanti yamada 3alayi rbifdalkom yazada yamadam nahdi hanikom yamadam tunsi yas3dkom yamadam dayadli far7kom ma7laha il7sa mt3kom ra9ya ta7yati,0
214,dwekd tremetk zebi wousef weled miboun termetek asba sormek sormrm ta te jure te cherche partout nehechilik matrak termetek termetek ta,1
215,dalil akhar anek asbahta rakam sa3b machhed asiyasi hadhaka khayfine menek,0
216,bde 9ilet torbiya la3ibha 7ouma 3arbi raye9 9oum bayet jir tnafa3 i7chem rwijel rojla kes7a,1
217,lien hanibal cvp,0
218,bravo madame mehrzya,0
219,chelet etefihin,1
220,domane fsad fisad kolkom e97ab wemabna,1
221,youfa lfilm bilahi,0
222,3ari 3ari 3ari ame metkhafich fema ismha kfen yostrok ghasban 3anki,1
223,lmaset yestad3a lmaset lemision chalektouha,1
224,ta7an betbi3tek,1
225,sa7a sa7a,0
226,ser9ou anime death note,0
227,kadech tahchifih,1
228,bravo,0
229,jamais cru besoin t3almou 3and insta5rameu ze,1
230,tfouhh,1
231,a9wa transfert echange alexis ezechiel winzidouhom,0
232,marakou,1
233,barsha ma3ani ds msgs indirect nbn labes jeba ijiouh yokhtbou nil rien par hasard nen 8asha,0
234,faut atendre grand chose quatar,0
235,bien fait eux salopards imcha na7a la7met imtaaou kirlou,0
236,masi5 mnadhr mou7cha th3alb,1
237,abone blhi 9ad matnajmou,0
238,gedechkoum tmoutou 3a mosalslat,0
239,hi 7keyat stad,0
240,kalb,1
241,7oumeny 5sara mnich 7ather tab9a tnik alize bombay dodgeri hiro,0
242,netmanek ra2is nchoufou menek surprises enchalah,0
243,aslan kn y5dem n3ml anulation kahaw,1
244,a3mel ta79i9 3mal greve tardou wjomhour ghalya mak ta3ref ghalya maw,0
245,lezem entreneur yetkalem frncais,0
246,yaaa khouti hab nrja3 m3eha kouna,0
247,9rouda 5ir menhom mal chlayek jibhelhom,0
248,9ahba,1
249,jefel beheyem,1
250,baranikomek 5rayri telhne 97ab mwaben 3indkom 5rayer mta3kom ma3atech t7ot feli maya3nikech 5rayri,1
251,sonia mat5ali had yahki,0
252,ma5emjek hanen chograni 9azezetni tefret zebla 7achakoum la5er termet fou9ha masabretech,1
253,lezem nwariwhom kelmet n7elou mehich sehlaaa,0
254,laamari eshlou journaliste prese samira dami,0
255,3ana thi9a basem mehri ma3anech thi9aa ya7ki 3alihom basem,0
256,saif best 3amlouha 3a2iliya a7sen,0
257,viva msekni,0
258,conard,1
259,karate alkher,0
260,concernant guignol tounisiya lyouma,0
261,vu,0
262,m3alem samir,0
263,go djo wrak,0
264,asi rah bchar l2asad mon oncle tbda tatgouliya lmrzou9i,0
265,if 2pac saw this,0
266,machrou jdid takhrib tabaka erhabiyin,0
267,y7eb ydez abone chane mte3i,0
268,maset,1
269,bhima 7eta lmathal 8alet,1
270,5ouya mamestou,1
271,ma7leha lfaza bayrem ibrahim,0
272,a3mlouli abone chaine te3i,0
273,merc amthel a7la seloumaa,0
274,ghodwa njibelkom modemkom agence,1
275,nchlh tnjahlhom operation ywf9ou hyato nchlh ykhalilou ymah,0
276,dawlit likroz sitout zawali mcha inik jabana,1
277,bonjour mohamed deja 9otlek cable 3adito directe routeur na7itha instalation 3malt test tonalite hkito premiere partie cava pr utilisation filtre adsl seulement cable branche routeur manich 7atet plusieurs filtre raolonge 5m sinon 9olto 9oltoli bich ijik technicien apres plusieurs jrs milions reclamations kalamto baba 9oltolo disponible conexion bich ijih ledar puisque baba mayefhemech kalamni nsayeb khedemti nched dar mbaad yotlobni technicien tel meme g chefha 9ali n3adilek reclamation telecom meme iji pr verifier youfa abonement directe t9oso conexion na7na njiwkom nkhalso par contre yabda client yaamel malyoun reclamation mafama iji bich ichof moins probleme bref jma3et telecom kolyoum nchof fehom 9hawi sbe7 starejlo khedmo yokhorjo chhar bich i7alo floushom sinon apres q jrs tkalmo baba t9ololo probleme resolu probleme resolu majena chef mochekla chef cables filres naatik mbaad matlabtouh baba 9oltolo probleme resolu conexion maadech temchi jemla,1
278,enchala wken majech 5ir alex a9wa menou na3rfouh i9adem sow yelzmou wa9t wyarabich,0
279,behia kawther,0
280,bravo,0
281,mnin 5raj le5r,1
282,yanfoul mahich mistan3a hakaka mnayka toul,1
283,berlin,0
284,tfouh alaa chebi kanetik matahyewich akal titkal wfih houthela,1
285,m3alem tsaket ba7dhourek testehel jayezet ahsen moumathel,0
286,mnine tal3o hale jarathime tbareklek lamite lek7abe kole te5dem bihome tkawi 9o7bhom besme fane,1
287,semi nhabouk yifaraj 3alik malheureusement elkhadhra,0
288,merci,0
289,ta3jebni madam wejiha,0
290,makech,1
291,mahzla,1
292,tfouh,1
293,taaaw yakhrawlik yei raby mlayin ihibou wrak mezelt tchouf la3jab joumhour wahna k esiouda rahn ichara mta3ek,1
294,lazem ataquant 9wi pte heka ne9is ejam3ya men5aliwech rwe7na le5ir la7dha mbenza alexis,0
295,loka,0
296,sa7a khedma mezyana walh,0
297,hihihi merde parlez,0
298,alahh yahfadhkom ltounes yarhim echouhadaa,0
299,ytmanikou mamstou hadak temthil,1
300,nems,0
301,e7chem chweya moslim,1
302,tounsiya a7sen baramej wa7san sahriya,0
303,chnya lkilmaa,0
304,em3ake ma3lem e5dem touns eslime rakez a3la manate9 eda5liya,0
305,echrilhoum krahib wled elguadefi tahhan flousek hram waret beha khalitha tkasi adhika equipe echaab ebed naa zabour,1
306,sahfa tounsa amla bina nhbo narfo akbar wbel kosos elhound,0
307,adore salem monsieu,0
308,a3liha liklem,0
309,adore derniere pub oredo bien qu inspire technique utilise par serie bref ele,0
310,mla mnyk jabri,1
311,ma3adech tjibouh ytala3 edam,1
312,had maynajam yatkalam 5atro 3mal thaoira hakikia oi nchala mafama el5ir degage linabra,0
313,chedly chemda5el aseydek zantour bhemtkom intouma eserdina taragi mnayek zantour,1
314,rawah nik jit mibon nchabahlek mafla9,1
315,m3alem sa7bi kep up,0
316,raje3 chihab 9odam mazel bekri,0
317,andek el7a99 e5dem rouhek ma7soub da5el menek houa 5ayar masla7tou ba3thek 3adch tjawab ayamat yansawouk yetelhaw,1
318,maset mey3refch imathel,1
319,dr sahil 9oran hatit 3alih idik hlifit inchala ywaf9ik 9ad masouliya,0
320,ahla a3lami,0
321,5ir werteni,0
322,iklam 9alito is7i7 t3jibni iklamha ilkoul imla5is,0
323,romace elegance ahdilik a7la 8neya khaled hashim 3alachen,0
324,3aychou,0
325,ehsen ma3mel,0
326,masta,1
327,haya winek khrit mneyek rit lahram ach te3mel,0
328,apres avoir recu mon modem ligne telecom corectement branche rien part adsl toujours active depuis mois,1
329,erajel 7sebneh tla3 jma3et yar7am 3ami,1
330,donia me5ibek elfoused mas5in i3ichou feketou martou tweri wejha,1
331,curieux mot etoile,1
332,salam nafsak,0
333,jaafour makontech nhebek mes respects ensan sadek belahi khalik matetbadelech,0
334,yar7mo ete quelqu bien bcp estime envers lui yar7mo,0
335,mamsitkome,1
336,ya3rach mahouch talfza maset mandhrou mahouch talfza mahouch alaise mahouch naturel,1
337,3ala9a sara7a bihaya 5sartk aa,1
338,bien moncef continuer chance wraby uwaf9ek fima 5ir lebledna surtout realtions lybie,0
339,tztm,0
340,rask zeby,1
341,ka3ba m3aalam,0
342,hama kabria,0
343,tenpi sonda la3bed heka fech felhin yahkiw mleyka to7kom tesm3ou sar alikom te3lmou entom yhes jamra ya3fas aliha,0
344,nayek,1
345,m3alem jaafour,0
346,louled aime,0
347,m3akom,0
348,top chui algeriene,0
349,ma3lam m3alam ma3lam enmout,0
350,thabal,0
351,shih mena habinak metakdines sar hou saboutague esyasa notolbou menek ykhalik khalese mlaabia wekethom jib wahed dares kanoun elfout yzina khsaret elkadhaya flouse notleb menek etrajaa belaid mercie,0
352,9adeh n7ebou rajil mashalah moncef marzouki,0
353,da3m medi ma3nawi na3rfou thebha non,0
354,etahano barha,1
355,ma7moud sala7 grand defenseur cs yji lelclub a7sen afar,0
356,from egypt,0
357,wa7ad sabar arba3 marat sar saber roba3i,1
358,n7ebha 9rat m3aya lyce,0
359,tjib sab lomek wbok e7chem nayek,1
360,enchal elah ykoun lm3lem 5dmet lbled y3wena koul,0
361,abda3ati rafika,0
362,oilh,0
363,3ayno entouma a5taro 7arouch daboud sad9 selmi hdhoma a7sen 7kem boutola,0
364,saha bro hyh,0
365,hamdi ahmed,0
366,housem djo,0
367,malyoun 3asba sormik sorm weldik,1
368,hani 3amilha rba7t shy,1
369,bkit hit b3id mimti hadi ans ma9drtch nsbr fra9ha walakin l4orba hya fr9tna twahchtha bzaf,0
370,ui klemek t7es mafama 7ezb ychaja3 tenta5bou,0
371,bagar bagara,1
372,fsala far5 ta7an,1
373,soutik mara7 a7le tasjil,0
374,y3rafe ingemare,0
375,akid,0
376,m3alem,0
377,samir sliti a9ra comentaires to tchouf kolha jet litri9 rye7i rye7i m3alim,0
378,rais touns,0
379,kelmet maset,1
380,ta7fouma ema tarje3 tmathel 5ir,0
381,mandhar,1
382,achete mois decembre smartphone huawei boutique orange bardo dinars ils ont pack contient puce bouj consomation dinars beneficie go mois suivant mois janvier recu fait reclamation client orange ils ont informe recu bonus 2go mois decembre or rien recu arnaque,1
383,omo mnin dz,0
384,mas9etou bayrem,1
385,lila net,0
386,ta7an naoufel tbayh t9olha ra2fet hagen mnayek dehya,1
387,bjah 5tana 3imad eria7i nawa3 mamstou houa mochkla bensba laya ka3louf,0
388,aid sad oumar madid yaghouranaka 3oumalaa farah joumhour ifriki thbit rouhou ma3a tata3amel,0
389,ma7lahaaa,0
390,ikhdem rou7ek i3inek 3anes hethom tjewebhomch khater na3rfouhom ysaybou neje7 ila yfachlouh,0
391,tefeh,1
392,3inek dalahji wasel mahemek,0
393,yo9tol,0
394,nsa4rou xp,0
395,to9tel,0
396,chlekaaa,1
397,bsara7aa baredli galbi wlhhh,0
398,cv ta3jbni kelma chway iwafgek nchala,0
399,haaa blida,1
400,hwa we7d miboun wta7ana mte3ou m9asrin clubist mafhmtch et7in ychd wla ymchy ynayk,1
401,mkardi 2dt 7alel behom 3g yetmanyek rais 9alek fdhaya7,1
402,enhebha,0
403,9elet torbya,1
404,limsekni,0
405,lotf,0
406,nidhal gharamni a3di saadi oficiel,0
407,wa9tch tjina nestana nar,0
408,mamsatha mamsit labsetha asma 3othmeni matfara9ich bin elegance witgou3ir,1
409,n7eb nchoufou tech3al yo5rej yet5aba kel 9a7ba,1
410,ane9a charkia twetik jaafour maalem,0
411,acueil staf ileha ila manemchi nal9ah lent arzen menou mafamech mbaad n3adi comande nestana 3amin okhrin yjibouheli,1
412,3idek mabrouk yzidek y9awik rathi thamirek t3adel had,0
413,tal3at kalba,1
414,tjibli echme2zez dou5a ma5yib soutik,1
415,m3alam to93od m3alam etaraji emchiyou,0
416,bravo bravo kafon,0
417,bravo yousef wasel,0
418,raw3aaa,0
419,bravo l8ayeth wasim,0
420,kamcha rhout,1
421,ta7ana,1
422,nik omok 9a7ba,1
423,klemk yesr 7lou 9lil syesa 3weydk na9ralk trkz 7ajeyet enes surtout mouhmchine mensine twensa ytfkrouhm vote rtl ma9rouna dabouza zit netmna nsd9k ywf9k,0
424,bravo inty amel yihaz 9odam lo5rin yifakro charya ya5oha,0
425,l4ani,0
426,m3alem lghali aime,0
427,a7sen mousalsel 5stan sabri lbrnes,0
428,ymes bisoue aeich fy zigou,0
429,rakez chway ljanoub lwasat,0
430,3ejbtna tehabel wa9tach yt3awed lmosalsel,0
431,actrice charmante bravo,0
432,barvo,0
433,aasba denya khyr,1
434,deja envoye merde,1
435,hah sa7a ta9ra tekteb ykather mnk enes,0
436,ostedha 3arbia ostedh rached tbarkalah 3lehom leb9ia mahomch barnemjek polemique kont tnajam tchouf 5ir a9wa,0
437,lezboubna ziden yochker y3awed hazin coupe sne tatwijet lkolha rye7i bro m3alm nsew 3amlou masira degage zayed alh tzanter moumen,1
438,samir wanchala ahsan manhom wabsaraha anti,0
439,bonjour,0
440,merci grce vos conseils stable nouveau,0
441,haythem kamatchou,0
442,pf meskin,1
443,noum mchit choft nmbr one 7dhart m3ahom nistana videoet aka,0
444,nikilhom omhom whana,1
445,m3alim,0
446,amine menzel chaker ans marie bebes kdhit bac sna hamdouleh,0
447,8ir matemchi kifk homen,0
448,bravo,0
449,sbe7 enour aya 3ad aman n7ebou joueret behin 5alina inchi5ou,0
450,kil hada,0
451,alpha blondy,0
452,9a7ba,1
453,mamsethaaa,1
454,tnajmou tsakrou fadedtouni ey y7eb yemchi mfach5a tfouh tkawen no9tlou rwe7na dhawedi wedhni n9olkom y7eb 3omrou yal3eb law edenyaa,1
455,votre systeme con,1
456,salifou ma3lem pogba estanouh,0
457,yihdik bsaraha inate9 rais tohkom kilma menek timchi lomoure 5ali enase nijhet esna whazet al9abe ta3mil fimachrou3 makech tal3ab fitoro7 karta erajel fi3am jablek titre 5alih ykamel wba3ed hasbo bsaraha 3ibe sayir milmafroud ljam3iya thader ejay intidabate wjawna bahi hada lkoul,0
458,tfouh rabkom johhel,1
459,kheir sa77a ridha weldin ta3et 7ob watan,0
460,hyper bien,0
461,kolna wasel me3alem fiko yhebo yehrkouha shih,0
462,msekni,0
463,louled jaime bilehi,0
464,elgerd gerd nag3ouh dhab etfo,1
465,testehel,0
466,a7la mnawer esahra,0
467,samir continuation,0
468,wa9t belhi,0
469,4riyb 3jiyb,1
470,nour chiba a7la fanen 7asan ils a7san wrabi yq a7la fanen,0
471,telecom zeyed,0
472,bravo,0
473,9adeh sa7a7,0
474,ila chafti mesaje diyli hajti plz,0
475,kalb kalb,1
476,bele rose,0
477,mamsathaaa pf,1
478,chokra almajhod aljabar alathi tabtholho ajil is3ad almalyn ahaba alifriki arja3ata albasma oi alfarha oijohona ba3da an salmna alifriki marith ladaoi laho lakin anta ibn alifriki althi talama antatharnak likay toaikida kalama jamahir alifriki alifriki daoila chokran oisal ajlina oi ajl alifriki fanahno ma3ak,0
479,awbech ech3amlou 3ar i3ayef tfih 3lihom,1
480,tout bien qui finit bien,0
481,yosef nmes m3alem mcharef fotbal tunisia,0
482,ya7ki torbya motrobi,1
483,maasta,1
484,to9tel,0
485,flousik tothmorch finalement nhezou boutoula thin mte3ik thezha equipe nul ta5ra,1
486,amouna elfans mte3ek n7ebouk wna3 ch9ou soutek nej7a wmnayretna ghalya,0
487,prix,0
488,3ez enes,0
489,raja3 montasar louhichi,0
490,hkeya 3asbe,1
491,bilehi,0
492,raja haj mansour,0
493,3a9lik tnikna tnikna,1
494,yahfdek farahtna yfarhek,0
495,chleyek chleyek nifa9 trahdil,1
496,waza,0
497,galb dhib yet3ade wataniye much lhiwar,0
498,dawrha 5ayeb mta3ha bel7a9 mouselsl 7ajet 5ayba 3ayla tfarj b3adha,1
499,walh wa7dike,0
500,3ana enshalah welkes beb jdid b9odret 3ineya,0
501,aqwa film ro3b nchargi norqod nqoum sbehh nlqa mlm hao ero3b qalb,1
502,sa7bi ma7lek,0
503,tetcha9nes ikbes rou7ek w5ayti,1
504,wahdak jaloul,0
505,5ouya mamstek marznek pf mat9el damk,1
506,bravo bravo,0
507,takhraloufih,1
508,chtahchi wyha,1
509,tfouhh a3la esmha wabnet twansa,1
